prequal_id,checkout_id,prequal_date,completed_prequal,approved,assignment_date,group
06820f3d-824c-48e1-a9d5-6369b1e4376a,2ef599cc-f396-42f4-a6e7-954531fe09be,2019-06-16,1,1,,control
068cfb19-158f-4f47-bf20-da776e00be8c,,2019-06-25,1,1,,control
00602277-edd9-4951-a448-a7742da0ceaf,,2019-06-22,0,0,2019-06-22,experiment
00a5a760-6f85-4c12-997b-6841978ad50a,292ec596-3bce-4d07-b2c3-eb0faa73c71f,2019-06-26,1,1,,control
00e55ea2-30b8-4813-95e2-22f8dc23ced3,,2019-06-18,0,0,2019-06-18,experiment
012249a0-bca9-478e-ad8e-803c5a4015e9,,2019-06-28,1,0,,control
0189f0fb-eb53-4364-bfd0-a4db61d3c2bc,,2019-06-24,1,0,2019-06-24,experiment
01cab1f3-82b4-427d-a804-f999c1471d3f,,2019-06-18,1,0,,control
01fc80fa-0f59-4b60-8de4-861e66bca0bb,,2019-06-22,0,0,,control
00a81fc9-8699-4591-a97e-9117d57820c7,7d220d8f-fb40-47e3-b9e0-e21e6d432729,2019-06-17,1,1,,control
042f76a8-a850-489d-be36-02e2d647d746,d299500d-173f-49fe-8580-1b7c5f947ddd,2019-06-24,1,1,2019-06-24,experiment
04cb2bcb-4238-40aa-9403-0735ea0b8710,,2019-06-22,0,0,,control
0013b6ed-6d29-4eb8-a8bb-b6f6bd14f31c,,2019-06-20,1,0,,control
006928af-1f31-4f72-b62a-2ee22657f1c4,,2019-06-17,0,0,2019-06-17,experiment
00b6616e-7776-490e-8ce5-8e5e3ec8adbb,43567c2a-6940-4ffa-9269-878fb9d15e7c,2019-06-22,1,1,,control
013f5f8e-441a-4df9-b6fa-6136072024ec,,2019-06-28,0,0,2019-06-28,experiment
07e5aa94-7324-404f-a7f7-9cbb4b44c174,54e29194-8584-4ed4-9681-139c83ab1eb5,2019-06-25,1,1,2019-06-25,experiment
0012cbf0-f32d-4731-9794-6dd788c937aa,7dd04aac-542f-4e66-8335-e9afe2cbffad,2019-06-25,1,1,,control
0166956c-54b0-4e15-9761-297b996b32fd,,2019-06-25,0,0,2019-06-25,experiment
0209df6f-c464-4d1c-a6ad-d8d782281371,cb669a64-1310-4f37-a54a-53b027cd8365,2019-06-27,1,1,2019-06-27,experiment
02423d09-49fe-4899-8be8-ab9952f0a50b,,2019-06-23,0,0,2019-06-23,experiment
03893062-6016-467d-950a-dae8a89ec3b7,,2019-06-25,0,0,,control
03c1aae1-c734-4765-acc8-bc53aafcf9a3,,2019-06-20,0,0,2019-06-20,experiment
0138657e-9672-476e-9e36-9f4f9ac27197,,2019-06-23,0,0,,control
0154a3c7-8d88-42eb-99c2-2b4c76352f7f,,2019-06-20,0,0,,control
01e0044e-1b56-4be8-95e1-411d5a78d19f,,2019-06-30,0,0,,control
021ec9ff-8169-47ba-aded-d25c1d69369e,c1d8321b-4509-4b23-b608-43dbbfc759ef,2019-06-28,1,0,,control
004691f3-fa73-43b3-a301-47e889fadc09,,2019-06-22,0,0,2019-06-22,experiment
04732f3c-ac8c-47f2-ad20-cd76c1378119,9fc7df47-ff35-4369-a137-a7730455de0a,2019-06-21,1,1,,control
04736b36-d660-4b38-958e-b1e4c36616c5,,2019-06-17,0,0,,control
05107ae5-1e82-4359-a7c5-cc6b0c991505,,2019-06-19,0,0,2019-06-19,experiment
052cbdd5-b02b-446e-b203-69ddbade4d6f,,2019-06-27,0,0,,control
09eff223-cf5d-4627-8bbf-1b5626be2bed,b9d797db-0b90-4971-aaea-a88f22252e0e,2019-06-28,1,1,2019-06-28,experiment
01c9698f-9796-43c3-b49d-21ef1ba9129e,,2019-06-29,0,0,2019-06-29,experiment
02317385-1368-4f93-b1a1-fe011f762f10,988a2031-7d37-4cd1-8c2b-2b8c15fc04c4,2019-06-17,1,1,,control
0263b698-8845-4aef-b6c2-610e9e09993f,,2019-06-25,0,0,2019-06-25,experiment
053795aa-90de-44d0-a0f3-57e8824a8165,,2019-06-26,0,0,,control
05c2c1c4-e7b6-4bdf-8aa0-fd0d1cf2195c,,2019-06-19,0,0,,control
00f7110c-dbfd-41d0-9bd5-ff0fcba26f5d,,2019-06-20,1,0,2019-06-20,experiment
00f97373-7586-4a26-8c0f-671cc9494b78,,2019-06-22,0,0,,control
011506c7-b207-45fe-addd-8fcc4800cc24,,2019-06-26,0,0,2019-06-26,experiment
000f4e0a-2b36-4d3c-bd63-e040ae448a5e,acda2f51-4a5f-409d-8c9e-cbf233840ea6,2019-06-25,1,1,2019-06-25,experiment
002ba10a-00e2-4b66-b930-f692709eade2,aafe6267-ba07-4ede-b780-97f4a39ed7ef,2019-06-23,1,1,2019-06-23,experiment
00e0532b-2b8e-4962-8d7a-fcef2129a7f7,,2019-06-23,0,0,2019-06-23,experiment
00ea6c20-6914-41b5-9771-a7af578796de,,2019-06-21,0,0,2019-06-21,experiment
0041fd53-2581-471b-90ca-c5d0145d371c,,2019-06-16,0,0,,control
00a11514-5983-4920-b1e6-bfe226c8e327,28574259-9d7c-4860-81fa-76bf52049b43,2019-06-25,1,1,,control
011f8daa-3063-47e7-81e6-e231e84655c9,,2019-06-18,1,1,2019-06-18,experiment
001bcd02-9585-4150-a55e-617543ee77f6,2cbc1f9a-058d-4210-9c0b-2a4bacc84156,2019-06-22,1,1,2019-06-22,experiment
00910db4-d600-4b5d-bdc2-e85a8b7278d5,6197c5dd-9284-4f4a-8b7c-a29c46c58f26,2019-06-24,1,1,,control
00f6ea2a-8aba-480b-9e93-3e0f80fbd20e,,2019-06-22,0,0,,control
000198bb-1684-4745-aeae-c738bcf18711,,2019-06-20,0,0,,control
0025169c-c044-46e9-b006-113457670d40,d44af04c-c448-4f20-a589-5570569a296a,2019-06-25,1,1,,control
02a1840b-0ba4-4073-b802-4fc0acc9ee24,12b1ecc9-c505-47c5-a65d-079ed7a78b49,2019-06-22,1,1,2019-06-22,experiment
02e1c1ed-b05d-4d7f-93b8-7266d04a5eca,,2019-06-18,0,0,2019-06-18,experiment
03058042-6699-475d-9a75-e9de203d963a,,2019-06-28,0,0,2019-06-28,experiment
031d1a7a-4bda-4e62-854c-bbc756d77f20,e29b6230-6bb9-405b-bd85-6e64c35bad5a,2019-06-16,1,1,,control
03d7a3db-a1bf-479d-8175-811b25dd4044,e86d909c-8404-47b5-be1e-7b45286cc719,2019-06-30,1,1,2019-06-30,experiment
0037647b-ee19-45ad-9061-11e4274e5345,bf5f3b68-6527-465c-918b-08a7ef1df61a,2019-06-21,1,1,,control
0079c809-e0ac-4644-ab95-6f9f77f1206b,,2019-06-18,0,0,2019-06-18,experiment
007b4075-77f3-43e0-a466-5a0e35adc91e,a0dc0f0b-fc4e-4772-8296-db88edf3ff57,2019-06-24,1,1,,control
00a09161-4818-4b98-90dd-cda6070f3a5e,,2019-06-27,1,1,2019-06-27,experiment
00d60b1e-c2dd-4088-8026-a0a9da2a1456,,2019-06-30,1,0,,control
0113fec0-c00e-4cf6-bc53-16e8b16351cd,,2019-06-26,0,0,,control
0153c896-304a-4f93-8a47-1c26c99300d0,,2019-06-22,0,0,,control
0047aaa9-99ef-4256-b749-5cc8e68f179b,,2019-06-26,0,0,,control
0054673f-8d92-4331-a69b-84e034f178fa,,2019-06-28,0,0,,control
0037abc0-c4ab-4bc9-8619-fffac9977f30,,2019-06-17,1,0,,control
003d1019-da39-4c5e-8256-08dc1b8cee5e,,2019-06-16,0,0,,control
0149ac15-9c27-4fcd-adb1-48fa38ce9ffb,,2019-06-17,0,0,,control
01783567-4f29-4026-be2c-0fe22cc9a9ee,,2019-06-21,0,0,2019-06-21,experiment
024fd23d-c921-4cc5-a20e-8fc2e86a0a4a,,2019-06-25,1,0,2019-06-25,experiment
0267137a-ef5b-4dad-804d-8088a035ded9,,2019-06-27,0,0,,control
02754e1f-73a6-4fde-8bf4-afd186f4a1de,8a9b87d7-f788-45f8-bd2c-be086d69d390,2019-06-22,1,1,2019-06-22,experiment
012bed43-97df-41a9-a5ec-abaa45aadf1d,,2019-06-25,0,0,2019-06-25,experiment
01e3d61b-c8b0-43a3-b420-e565509b787f,f19cf42d-dbb5-4b35-8b46-5d92295b4b1b,2019-06-18,1,1,2019-06-18,experiment
0202fd05-52ae-4461-9de5-aab19fcc0b6d,,2019-06-29,1,1,2019-06-29,experiment
023aefbe-9793-459f-80d9-3adff4eef1f4,520c56ac-7942-4476-a46e-b714f348e6d9,2019-06-19,1,1,2019-06-19,experiment
0288da7c-2e65-4b30-afbd-da301c6f7290,fb278e58-5156-4302-9026-a9cfdfb469d2,2019-06-28,1,1,2019-06-28,experiment
02a70621-e60c-4edc-a561-2d6766cd2431,0c658610-9c72-4dac-84e0-32e34c3ad334,2019-06-21,1,1,,control
0436f4a6-ffec-4f6f-bff7-14d0f1eba0ae,,2019-06-27,0,0,,control
04cc91e4-a6a9-4d3e-a809-bef4015bcba3,13a436bb-e7f9-4256-9a6d-981cd9f64c85,2019-06-17,1,1,,control
04dd06ec-6539-498c-9caf-9dc1b4b2d6ff,,2019-06-23,0,0,,control
054fe2fb-c833-4192-8431-aac60f51259b,,2019-06-24,0,0,2019-06-24,experiment
02f18017-7509-4352-94be-386f34a76a12,8fe539a4-c475-4bb9-8a27-0c3dc3ff1ba3,2019-06-27,1,1,2019-06-27,experiment
03428c49-90f3-483b-a9a8-ee21b70388bf,,2019-06-22,0,0,,control
0271e56c-85ee-4a10-9426-8a7de3906873,,2019-06-18,0,0,,control
0276875f-dc02-4304-b12b-e049608fdfb8,,2019-06-30,0,0,2019-06-30,experiment
0287eb5d-4e35-4d95-b0af-f7430b9a1568,,2019-06-18,0,0,,control
02c3d071-2362-4fd8-adb8-caf3e7cf74ed,,2019-06-16,1,0,2019-06-16,experiment
03613408-1d68-44bd-af21-e452d940c83a,,2019-06-22,0,0,2019-06-22,experiment
037cbfa9-23fc-4c18-8e3b-4401c6dd5cfc,,2019-06-30,0,0,,control
00b7e53d-416c-41c5-b7ef-21baf61edac2,841d9abb-b8aa-439e-aa2c-45a17d356179,2019-06-19,1,1,,control
00dcbeef-eb78-46c7-992c-11aecbe96c20,,2019-06-24,1,0,,control
00a657a5-8280-4dfe-abb5-dce038de73f0,d02d9396-e56c-42c5-89b2-087c05519bbf,2019-06-30,1,1,,control
00f5bcd7-da60-484f-b073-59d7246a7c1b,,2019-06-25,1,0,2019-06-25,experiment
0160cb6d-eb9c-4d5b-81ee-772fd267cbca,,2019-06-18,0,0,,control
0208222b-333a-4875-a19d-024d26a23974,,2019-06-28,0,0,2019-06-28,experiment
02154b63-9fd0-43e8-917c-c3e15be512c8,9a44709c-15cf-486e-8cad-ead8e38a3143,2019-06-16,1,1,,control
023ac675-096b-412d-a9eb-20051e9e1499,,2019-06-16,1,0,,control
02785d47-d3c0-41db-a0fa-7bb975fc8bea,9d5067e7-293f-47fa-9411-51bd9231128c,2019-06-28,1,1,2019-06-28,experiment
0008a9ba-e38e-4b8c-807c-5c585e000454,d049bbc8-6ebe-40af-8802-14b55513943a,2019-06-26,1,1,,control
00e04379-ff8b-4cc0-993f-3f035f36d4b1,,2019-06-18,0,0,,control
05a30ac9-bcbb-4541-816a-7edb67cba864,,2019-06-28,0,0,,control
05b374b2-6ecf-4dd3-8431-77333825cffe,,2019-06-30,0,0,,control
0672852f-5a61-48df-880a-e7222b2858fd,,2019-06-27,1,0,,control
0a58b4de-3415-4dc9-8490-bc59fa373904,,2019-06-22,0,0,,control
0a9dfbcb-012d-4332-acc5-33f67a378ba2,,2019-06-30,0,0,2019-06-30,experiment
0ad7157e-f2b9-48ea-bfa4-a2944867b073,,2019-06-29,1,0,2019-06-29,experiment
02accc72-64fd-4755-a1b1-4a11de9aba41,,2019-06-16,1,1,2019-06-16,experiment
02f13eb8-c6b7-4dbb-8e25-8e29ecb34c4d,98022327-c4be-4602-b6c3-8e4595c67e85,2019-06-16,1,1,2019-06-16,experiment
035cc4cf-e327-426b-a7f0-a523a58cf13f,,2019-06-25,1,0,,control
0360cb73-86f9-4705-a62d-2a03ff7e1b2c,,2019-06-27,0,0,,control
0377e653-cf2c-4715-b85a-210c14723ef8,bbbea61c-26b6-472f-a81a-97018344f3ef,2019-06-18,1,1,,control
00264067-a8c9-4c23-8c86-1b7009f659b0,,2019-06-18,0,0,,control
0077e15b-602c-4852-9b25-8dd1b6c8c713,,2019-06-17,1,0,,control
01499d93-c0b0-415d-8678-1d23b23f3a0a,,2019-06-25,0,0,,control
01783fbe-1a6b-4d94-b45c-38079db38aa1,,2019-06-26,0,0,2019-06-26,experiment
01f39bf8-53fd-4927-b7b3-83eb454addad,,2019-06-17,1,1,2019-06-17,experiment
02061849-1b98-421e-9956-b9dcd09b0752,ed1165c8-a6aa-4986-8dca-5b0715f43c04,2019-06-30,1,1,,control
02cbced8-693a-4c83-afda-1672d8648b48,,2019-06-22,1,1,2019-06-22,experiment
0349e756-ef04-4f46-ac20-2a98d45c7daa,,2019-06-20,1,0,2019-06-20,experiment
03552e02-0d76-4781-8704-46e3fffd42db,,2019-06-20,1,0,,control
0653f606-2e25-4c86-99f0-01984a2fc81a,,2019-06-30,1,1,2019-06-30,experiment
06f9d7bf-265c-4c6f-87c7-d07ea304766e,,2019-06-27,0,0,2019-06-27,experiment
06ff1fdb-c7ce-41fa-82e6-dc6f8c926147,,2019-06-26,0,0,2019-06-26,experiment
07008850-21c6-4014-b0c4-7acc317d7da2,7fc7a738-596b-4d2e-9e1c-3184b4450131,2019-06-28,1,1,2019-06-28,experiment
019b22cb-ecef-4a07-919a-bf5f0284df0a,63b9d5e2-fbbd-4069-8922-a6de793f2e2e,2019-06-19,1,1,,control
021145c8-bfe6-4f6d-9740-7184934c6e42,63652333-a02a-4e31-94f8-a3729329bc11,2019-06-27,1,1,,control
022a10c7-1ca7-452e-ab19-f7c6c087f226,,2019-06-26,1,0,2019-06-26,experiment
022ca2ae-6bf7-498c-bab2-00ede6bb6672,a15943ef-60db-4b22-af90-78ec62f0382f,2019-06-20,1,1,2019-06-20,experiment
01765874-c725-4335-9d4c-193ba29c4a22,83e4970d-0b5b-40f7-a80c-16c56014e132,2019-06-27,1,1,,control
0220be8f-e9e6-4fee-a9eb-423ad9ebca3a,,2019-06-25,1,0,,control
0237d446-cfca-49d2-9702-ef37e92e6f8a,,2019-06-28,1,0,2019-06-28,experiment
024de277-5c9b-47f2-b94a-735a5c128153,,2019-06-25,0,0,2019-06-25,experiment
02606412-bd8f-454c-8416-b164823142e6,,2019-06-25,0,0,,control
028f6234-3ef6-46c6-a382-f308b179e581,,2019-06-26,0,0,2019-06-26,experiment
0477ccc3-0f08-46df-8faf-1632bd86c0fb,,2019-06-24,1,0,,control
04ad9ffd-0eb5-4898-b7b5-c738165d0424,c4b18034-2313-4579-991d-71c8550872a0,2019-06-17,1,1,,control
04d478e1-fb8e-485b-93aa-e40cc5d3f334,a34f6d33-9f62-4c78-b3a5-9dfa09ca5eb0,2019-06-26,1,1,,control
0219b317-6d4f-44b8-8510-899643b9ff36,5396fc3a-6d43-49d5-aca4-aac8939dae15,2019-06-26,1,1,2019-06-26,experiment
03f7f62f-99a4-47eb-9fc2-8e251dc9ce78,,2019-06-19,0,0,,control
05d7d6e5-b95b-4521-af9e-254ff8267477,,2019-06-21,0,0,,control
043a58dc-585f-4b82-bb9c-fc83adde7f27,,2019-06-28,1,0,2019-06-28,experiment
04c4a544-da50-4447-a2cc-402c2af979e9,,2019-06-22,0,0,,control
04ea9f9d-2661-4a73-8d39-845f527d4feb,,2019-06-16,1,0,2019-06-16,experiment
03a9a82a-d747-4e8d-98bf-34fbb675928b,,2019-06-20,1,0,,control
03aa8267-208e-4a47-ad52-2251d3afaabf,b58a75e6-22ed-41c5-a93a-54aec06ef6f9,2019-06-26,1,1,2019-06-26,experiment
03d687e7-a06b-4bfe-85a0-ca8a4329054a,,2019-06-24,0,0,2019-06-24,experiment
04306f70-62eb-4d97-a273-644465b82668,,2019-06-27,1,0,,control
031de936-c77c-47d8-8cb3-9f5d34573ace,,2019-06-29,0,0,2019-06-29,experiment
034f5c43-7fb1-400b-a3b6-b53635356ad6,,2019-06-25,0,0,2019-06-25,experiment
03a01f27-4f45-45c2-98bf-8d9db650c121,,2019-06-21,0,0,,control
03a3a6c6-d080-4529-9fff-43a6b3933208,,2019-06-27,0,0,,control
03a6b2ba-2ff7-4341-8687-b44de41c541e,,2019-06-25,0,0,,control
019b7c12-3487-4299-af19-0125f3ff4289,,2019-06-17,0,0,,control
01b1fc89-353e-4941-b30a-fbe5d9cc64a5,,2019-06-25,0,0,2019-06-25,experiment
018a7881-daf2-4e51-9eef-92d33fdcae5f,c3a46596-32b4-4480-8cf6-1928e81fe5ef,2019-06-17,1,1,2019-06-17,experiment
01fdf2fb-516b-4bd8-be13-69f2cfb97e8d,1bf3d951-1112-4e5c-998b-d99222bdb4b3,2019-06-30,1,1,,control
023113fe-3b9f-4a74-8116-3bd9e235f7ed,289edfed-1412-426c-aec4-14366645abc2,2019-06-18,1,1,,control
024430cd-a078-496d-a434-1e810f9ac1a7,,2019-06-30,1,0,2019-06-30,experiment
06ccb2ab-931f-4047-b740-f7f4c854f342,,2019-06-17,0,0,2019-06-17,experiment
0bd2bbc9-eeb0-46ec-ba11-e12a82ca4b31,1c81049d-1e8d-4887-8d63-f0704e6b35a6,2019-06-30,1,1,,control
0505d822-f8c8-4463-a7b1-758a3b8d1991,,2019-06-28,0,0,,control
050fb534-4b38-4653-a112-a3723d964ecf,,2019-06-24,0,0,,control
051b7931-18a5-4254-9e03-7a0650447336,,2019-06-18,0,0,2019-06-18,experiment
01b40f48-7f0f-4c4a-80ab-52da91cf579b,,2019-06-18,1,1,,control
01beb2ee-b817-4bab-bd0c-2a0d289f0633,,2019-06-25,0,0,2019-06-25,experiment
02737e1c-0c48-4603-87fa-e39f7505de7d,,2019-06-28,0,0,,control
03072a03-4883-43cd-b858-e6f1cfbca397,,2019-06-30,0,0,,control
02eb3640-756a-4495-aec0-5a196f131dee,2939c600-141e-49b7-a5c5-438e1efdd7a2,2019-06-22,1,1,2019-06-22,experiment
032a6adc-8799-4e67-953c-5cfd178d87b8,,2019-06-27,0,0,2019-06-27,experiment
03497a37-046a-404c-b957-25990ea1ac4a,,2019-06-27,1,1,2019-06-27,experiment
03b2dae1-79d6-4c46-bf22-986f4273cf80,,2019-06-28,0,0,,control
01ad42be-b305-4a45-b286-557eb915e23c,,2019-06-24,0,0,2019-06-24,experiment
01bdc3bf-9596-434a-88c4-f2c61ad6c211,,2019-06-20,1,0,2019-06-20,experiment
01ce07ed-11a4-4091-8e19-4e9be0556d71,ac14ea9e-d1b3-466b-8c10-9225537897b4,2019-06-23,1,1,2019-06-23,experiment
026a64bd-7181-41af-b4dc-7f9797f9e6a6,,2019-06-18,1,0,2019-06-18,experiment
046546be-6a75-4875-b7b9-c84a45b512bc,,2019-06-19,0,0,2019-06-19,experiment
04a6bcd2-bdc2-4298-87b1-e958732819fe,,2019-06-21,0,0,,control
00f050a7-0d9d-4871-8bde-66d024806cdd,,2019-06-27,1,1,2019-06-27,experiment
01170b42-2dde-4938-940f-df90fcb13cd8,,2019-06-30,0,0,2019-06-30,experiment
013c03ca-684a-4d7d-99b4-ee9e72bb2df2,,2019-06-30,0,0,,control
051f9c95-aa69-4448-bbf5-0b4f448e2794,d85ad9fa-1e91-4557-8352-5c384a934d3b,2019-06-22,1,1,2019-06-22,experiment
056764c8-f90f-4c19-8f12-43fe6e2fec93,242f550c-a2a1-4281-b156-70793956d7f9,2019-06-18,1,1,,control
05bd3066-ed0c-4449-800d-3ab673d157ff,a252e618-662c-463c-b3e9-e0d3043cf00c,2019-06-20,1,1,2019-06-20,experiment
02069461-9121-4bb6-a076-caab19e3b543,,2019-06-24,0,0,2019-06-24,experiment
026983ef-3531-4a3a-8a27-1c5e39c910d2,,2019-06-19,0,0,2019-06-19,experiment
040602e3-3fb5-4d8a-ae07-ee48f61dc83e,999b0424-f386-463d-aa37-868a790811c5,2019-06-20,1,1,,control
041ad84d-3723-4f53-b5e1-8e676c1b9361,0c908c37-4c48-4f17-94fc-b92651807e74,2019-06-30,1,1,2019-06-30,experiment
04b47993-1dd2-4ea2-a82d-b36ddea85804,,2019-06-24,1,0,2019-06-24,experiment
012f86e7-d343-45b3-b1bb-507aa6190c30,72d74708-1221-4959-8571-ee3c90182625,2019-06-28,1,1,,control
07099b30-1957-4b32-bf42-a313d32338b7,2218db69-0076-47fe-b6d3-70ca05fc5659,2019-06-30,1,1,2019-06-30,experiment
0752c555-d992-4650-ad29-0b47b90cbeec,e65ea776-2c90-4899-8879-93f4b1d3dae8,2019-06-20,1,1,,control
077ee7da-2a93-4dce-a4a5-4fc6393ace54,,2019-06-25,0,0,,control
07f38723-69c6-4a60-abd2-7792defee2b8,ebc21488-62aa-435c-a503-f021a938c40a,2019-06-26,1,1,2019-06-26,experiment
052f2a3b-1ff8-4888-a6fc-0b4bf8cc8618,,2019-06-27,1,1,2019-06-27,experiment
05daf671-da3d-4e52-81bc-a274894fd4fb,,2019-06-25,0,0,,control
06058071-2c9a-4562-bc34-f6cecbb60a57,,2019-06-30,0,0,,control
018fd1cc-e317-4985-ae68-e59a66afc788,,2019-06-18,1,0,2019-06-18,experiment
0227d10e-b5d2-4773-a80d-1a99b7cb868a,736f7839-f84e-41b2-bf80-a4887987f8d3,2019-06-26,1,1,2019-06-26,experiment
0266b276-19f8-453f-9e45-3103411af32b,,2019-06-16,0,0,2019-06-16,experiment
055206ee-67bb-45a6-9a1c-ed52dfe72597,,2019-06-22,0,0,,control
05a5f48f-23ea-469a-9dec-196bfd2d40d3,ab2d1306-ac36-4e33-b5b5-202debd4ab2b,2019-06-26,1,1,,control
06000c9d-cd56-45c8-8b37-61a6fe205cc4,,2019-06-22,0,0,,control
0610dd6d-9011-4775-8e18-6ca70c7733f8,,2019-06-19,1,0,2019-06-19,experiment
040fad13-0453-41a3-b748-fdbee44c3cf8,,2019-06-25,0,0,,control
043f5fc2-0432-44a6-ac0c-4d40fe2ece32,,2019-06-19,0,0,,control
04d50969-c7b3-485b-a957-706c4083d3ab,d880d142-bf55-4b27-9bc1-9011d8f59c9a,2019-06-19,1,1,2019-06-19,experiment
04ea1646-f207-42eb-b400-2e018ef6e30e,999bdd63-d453-4723-8d62-13d741c8bbad,2019-06-19,1,1,,control
050d446a-dcec-4b8b-a937-ce305dc673ef,06244ac7-16ce-4bba-b101-9786d663339a,2019-06-19,1,1,2019-06-19,experiment
03aa0d37-b53d-4f31-a7e0-99c9b5de7720,,2019-06-16,0,0,2019-06-16,experiment
07f0480a-6442-4e1a-aa98-684db0978d50,e31ee023-9100-4783-bb0b-a5bb6fad1405,2019-06-29,1,1,,control
081c6733-db34-4bf1-ae4f-818efbc7ff1d,,2019-06-23,1,0,2019-06-23,experiment
086b3225-2db0-4d86-b798-dd919f91550d,,2019-06-21,1,0,2019-06-21,experiment
0837c849-cf45-4db3-b5ce-aa3c704c136d,,2019-06-22,0,0,2019-06-22,experiment
08513daa-5404-42db-9dce-0fd7f6227cd2,e3ada9b1-a343-4c13-abf5-bf4121456004,2019-06-16,1,1,2019-06-16,experiment
0867f546-a03f-4765-970a-2bf9c89e36fe,,2019-06-24,0,0,,control
090b32fb-3dde-4d90-9503-e53af335348d,,2019-06-28,1,1,2019-06-28,experiment
034492b5-1ecb-4ae9-9b0e-898b3585bc38,,2019-06-29,0,0,,control
